EventIndex;TotalTime;RelativeTime;SkeletonId;Joint;Status;EuclideanDistance
224;11,6409814;0,099899;7,20576E+16;WristRight;TRACKED;0,07150855
225;11,7080639;0,1669815;7,20576E+16;WristRight;TRACKED;0,2280955
226;11,7409883;0,1999059;7,20576E+16;WristRight;TRACKED;0,3108297
227;11,7739817;0,2328993;7,20576E+16;WristRight;TRACKED;0,3878496
228;11,8409782;0,2998958;7,20576E+16;WristRight;TRACKED;0,4179068
229;11,9080689;0,3669865;7,20576E+16;WristRight;TRACKED;0,5963356
230;11,9409753;0,3998929;7,20576E+16;WristRight;TRACKED;0,5824454
241;12,4739824;0,0659091;7,20576E+16;WristRight;TRACKED;0,04936035
242;12,5081052;0,1000319;7,20576E+16;WristRight;TRACKED;0,1045498
243;12,5740186;0,1659453;7,20576E+16;WristRight;TRACKED;0,2379452
244;12,6080594;0,1999861;7,20576E+16;WristRight;TRACKED;0,3349716
245;12,6739806;0,2659073;7,20576E+16;WristRight;TRACKED;0,4197234
246;12,7080541;0,2999808;7,20576E+16;WristRight;TRACKED;0,4710186
247;12,7739851;0,3659118;7,20576E+16;WristRight;TRACKED;0,4814542
255;13,2409864;0,0670024;7,20576E+16;WristRight;TRACKED;0,03041417
256;13,3080688;0,1340848;7,20576E+16;WristRight;TRACKED;0,1441553
257;13,3409904;0,1670064;7,20576E+16;WristRight;TRACKED;0,2291029
258;13,3739906;0,2000066;7,20576E+16;WristRight;TRACKED;0,302716
259;13,4409866;0,2670026;7,20576E+16;WristRight;TRACKED;0,4551927
260;13,4739765;0,2999925;7,20576E+16;WristRight;TRACKED;0,5248368
261;13,5080778;0,3340938;7,20576E+16;WristRight;TRACKED;0,546268
272;14,0409671;0,0328834;7,20576E+16;WristRight;TRACKED;0,005716116
273;14,1080843;0,1000006;7,20576E+16;WristRight;TRACKED;0,08194451
274;14,1409936;0,1329099;7,20576E+16;WristRight;TRACKED;0,1419639
275;14,2080541;0,1999704;7,20576E+16;WristRight;TRACKED;0,2875403
276;14,2740276;0,2659439;7,20576E+16;WristRight;TRACKED;0,4465664
277;14,308064;0,2999803;7,20576E+16;WristRight;TRACKED;0,5281597
278;14,3409845;0,3329008;7,20576E+16;WristRight;TRACKED;0,5204712
279;14,3739735;0,3658898;7,20576E+16;WristRight;TRACKED;0,5763637
181;8,0252989;0,0329464;7,20576E+16;WristRight;TRACKED;0,01668395
182;8,0582424;0,0658899;7,20576E+16;WristRight;TRACKED;0,0507294
183;8,125236;0,1328835;7,20576E+16;WristRight;TRACKED;0,218987
184;8,1582206;0,1658681;7,20576E+16;WristRight;TRACKED;0,3193941
185;8,192315;0,1999625;7,20576E+16;WristRight;TRACKED;0,4368739
186;8,225242;0,2328895;7,20576E+16;WristRight;TRACKED;0,5553777
187;8,2583374;0,2659849;7,20576E+16;WristRight;TRACKED;0,6397634
188;8,3252372;0,3328847;7,20576E+16;WristRight;TRACKED;0,7339143
189;8,3582237;0,3658712;7,20576E+16;WristRight;TRACKED;0,7311648
201;8,9252632;0,1000382;7,20576E+16;WristRight;TRACKED;0,1587741
202;8,9582399;0,1330149;7,20576E+16;WristRight;TRACKED;0,2458425
203;8,992307;0,167082;7,20576E+16;WristRight;TRACKED;0,3644533
204;9,0252203;0,1999953;7,20576E+16;WristRight;TRACKED;0,4812376
205;9,0582459;0,2330209;7,20576E+16;WristRight;TRACKED;0,550739
206;9,1252204;0,2999954;7,20576E+16;WristRight;TRACKED;0,6579667
207;9,1584008;0,3331758;7,20576E+16;WristRight;TRACKED;0,6584673
208;9,192318;0,367093;7,20576E+16;WristRight;TRACKED;0,6552324
219;9,6923966;0,0671347;7,20576E+16;WristRight;TRACKED;0,07191422
220;9,7582377;0,1329758;7,20576E+16;WristRight;TRACKED;0,2413632
221;9,7923083;0,1670464;7,20576E+16;WristRight;TRACKED;0,3403854
222;9,8583541;0,2330922;7,20576E+16;WristRight;TRACKED;0,5470104
223;9,9252553;0,2999934;7,20576E+16;WristRight;TRACKED;0,6744056
224;9,9582287;0,3329668;7,20576E+16;WristRight;TRACKED;0,7128748
225;9,9923256;0,3670637;7,20576E+16;WristRight;TRACKED;0,6916944
236;10,4923212;0,0670922;7,20576E+16;WristRight;TRACKED;0,0699891
237;10,525232;0,100003;7,20576E+16;WristRight;TRACKED;0,1412739
238;10,5582263;0,1329973;7,20576E+16;WristRight;TRACKED;0,2319883
239;10,5923018;0,1670728;7,20576E+16;WristRight;TRACKED;0,3398077
240;10,6252394;0,2000104;7,20576E+16;WristRight;TRACKED;0,4924085
241;10,6582464;0,2330174;7,20576E+16;WristRight;TRACKED;0,5399826
242;10,6923781;0,2671491;7,20576E+16;WristRight;TRACKED;0,680244
243;10,7582329;0,3330039;7,20576E+16;WristRight;TRACKED;0,6652145
244;10,7923117;0,3670827;7,20576E+16;WristRight;TRACKED;0,6523379
254;11,225219;0,0328883;7,20576E+16;WristRight;TRACKED;0,01038592
255;11,2582221;0,0658914;7,20576E+16;WristRight;TRACKED;0,045793
256;11,2923029;0,0999722;7,20576E+16;WristRight;TRACKED;0,1004061
257;11,3252337;0,132903;7,20576E+16;WristRight;TRACKED;0,2052126
258;11,3923187;0,199988;7,20576E+16;WristRight;TRACKED;0,4630388
259;11,4252226;0,2328919;7,20576E+16;WristRight;TRACKED;0,5962112
260;11,4582321;0,2659014;7,20576E+16;WristRight;TRACKED;0,662926
261;11,5252369;0,3329062;7,20576E+16;WristRight;TRACKED;0,8582011
262;11,5582248;0,3658941;7,20576E+16;WristRight;TRACKED;0,8289548
274;12,0252222;0,0329176;7,20576E+16;WristRight;TRACKED;0,005714304
275;12,0923145;0,1000099;7,20576E+16;WristRight;TRACKED;0,1048198
276;12,1252463;0,1329417;7,20576E+16;WristRight;TRACKED;0,1794278
277;12,1582508;0,1659462;7,20576E+16;WristRight;TRACKED;0,2843039
278;12,2252214;0,2329168;7,20576E+16;WristRight;TRACKED;0,5484896
279;12,2582348;0,2659302;7,20576E+16;WristRight;TRACKED;0,6011551
280;12,2923103;0,3000057;7,20576E+16;WristRight;TRACKED;0,7254989
281;12,3582378;0,3659332;7,20576E+16;WristRight;TRACKED;0,7882242
282;12,3923035;0,3999989;7,20576E+16;WristRight;TRACKED;0,9071507
283;12,4582609;0,4659563;7,20576E+16;WristRight;TRACKED;0,7496937
293;12,9252231;0,0329108;7,20576E+16;WristRight;TRACKED;0,01350685
294;12,9582555;0,0659432;7,20576E+16;WristRight;TRACKED;0,04978979
295;13,025276;0,1329637;7,20576E+16;WristRight;TRACKED;0,1926478
296;13,0923032;0,1999909;7,20576E+16;WristRight;TRACKED;0,3566361
297;13,1252145;0,2329022;7,20576E+16;WristRight;TRACKED;0,4494417
298;13,1582894;0,2659771;7,20576E+16;WristRight;TRACKED;0,4946773
299;13,1923238;0,3000115;7,20576E+16;WristRight;TRACKED;0,4759538
300;13,2582133;0,365901;7,20576E+16;WristRight;TRACKED;0,4146132
311;13,7582192;0,0329914;7,20576E+16;WristRight;TRACKED;0,03197313
312;13,7924368;0,067209;7,20576E+16;WristRight;TRACKED;0,07821177
313;13,8582359;0,1330081;7,20576E+16;WristRight;TRACKED;0,2332152
314;13,8923157;0,1670879;7,20576E+16;WristRight;TRACKED;0,2900493
315;13,9582306;0,2330028;7,20576E+16;WristRight;TRACKED;0,5244548
316;13,992308;0,2670802;7,20576E+16;WristRight;TRACKED;0,4953637
317;14,0582527;0,3330249;7,20576E+16;WristRight;TRACKED;0,4925937
330;14,5582888;0,0330026;7,20576E+16;WristRight;TRACKED;0,02977776
331;14,5923154;0,0670292;7,20576E+16;WristRight;TRACKED;0,08571744
332;14,6252951;0,1000089;7,20576E+16;WristRight;TRACKED;0,1653058
333;14,6923927;0,1671065;7,20576E+16;WristRight;TRACKED;0,3608628
334;14,7252234;0,1999372;7,20576E+16;WristRight;TRACKED;0,453716
